Cycle: (Cycle #)
Experiment #: 6
Proposal ID: 31767
Instrument: HB2D
Experiment Title: Spin textured beam
Session Start Time: 08/29/2023  03:46:48 PM

Parameters Logged:
Device Name	Timestamp	Value
nu_2_current	08/29/2023  04:58:57 PM	-0.0017
ac_2_current	08/29/2023  04:58:57 PM	0.0006
nu_3_current	08/29/2023  04:58:57 PM	-0.0004
nu_1_current	08/29/2023  04:59:57 PM	0.0027
ac_1_current	08/29/2023  04:59:57 PM	-0.0006
prism_current	08/29/2023  04:59:57 PM	0.0015
nu_2_current	08/29/2023  04:59:57 PM	-0.0017
ac_2_current	08/29/2023  04:59:57 PM	0.0006
nu_3_current	08/29/2023  04:59:57 PM	-0.0004
nu_1_current	08/29/2023  05:00:57 PM	0.0027
ac_1_current	08/29/2023  05:00:57 PM	-0.0005
prism_current	08/29/2023  05:00:57 PM	0.0015
nu_2_current	08/29/2023  05:00:57 PM	-0.0017
ac_2_current	08/29/2023  05:00:57 PM	0.0006
nu_3_current	08/29/2023  05:00:57 PM	-0.0005
nu_1_current	08/29/2023  05:01:58 PM	0.0027
ac_1_current	08/29/2023  05:01:58 PM	-0.0005
prism_current	08/29/2023  05:01:58 PM	0.0015
nu_2_current	08/29/2023  05:01:58 PM	-0.0017
ac_2_current	08/29/2023  05:01:58 PM	0.0006
nu_3_current	08/29/2023  05:01:58 PM	-0.0005
nu_1_current	08/29/2023  05:02:59 PM	0.0027
ac_1_current	08/29/2023  05:02:59 PM	-0.0005
prism_current	08/29/2023  05:02:59 PM	0.0015
nu_2_current	08/29/2023  05:02:59 PM	-0.0017
ac_2_current	08/29/2023  05:02:59 PM	0.0006
nu_3_current	08/29/2023  05:02:59 PM	-0.0005
nu_1_current	08/29/2023  05:04:00 PM	0.0027
ac_1_current	08/29/2023  05:04:00 PM	-0.0005
prism_current	08/29/2023  05:04:00 PM	0.0015
nu_2_current	08/29/2023  05:04:00 PM	-0.0018
ac_2_current	08/29/2023  05:04:00 PM	0.0006
nu_3_current	08/29/2023  05:04:00 PM	-0.0005
nu_1_current	08/29/2023  05:05:00 PM	0.0027
ac_1_current	08/29/2023  05:05:00 PM	-0.0005
prism_current	08/29/2023  05:05:00 PM	0.0015
nu_2_current	08/29/2023  05:05:00 PM	-0.0017
ac_2_current	08/29/2023  05:05:00 PM	0.0006
nu_3_current	08/29/2023  05:05:00 PM	-0.0006
nu_1_current	08/29/2023  05:06:00 PM	0.0027
ac_1_current	08/29/2023  05:06:00 PM	-0.0005
prism_current	08/29/2023  05:06:00 PM	0.0015
nu_2_current	08/29/2023  05:06:00 PM	-0.0017
ac_2_current	08/29/2023  05:06:00 PM	0.0006
nu_3_current	08/29/2023  05:06:00 PM	-0.0005
